operator_id,chamadas,chamadas_perdidas,duracao_total_media,duracao_media,chamadas_inbound,perdidas_inbound,duracao_total_media_in,duracao_media_in,chamadas_outbound,duracao_media_out,tempo_espera_medio,dias_ativos,taxa_abandono_operador,%share_perdidas
885890,66016,110,18965.880866425992,13238.747292418773,1363.0,22.0,969.1067961165048,848.7669902912621,64653.0,20573.045977011494,120.33980582524272,80,0.019809244314013204,0.007088542337930145
886146,52,10,372.10526315789474,311.36842105263156,1.0,0.0,1808.0,1799.0,51.0,228.72222222222223,9.0,9,0.0,0.0006444129398118315
886674,14,0,34.36363636363637,16.818181818181817,14.0,0.0,34.36363636363637,16.818181818181817,0.0,0.0,17.545454545454547,9,0.0,0.0
886892,2,0,130.0,72.0,2.0,0.0,130.0,72.0,0.0,0.0,58.0,1,0.0,0.0
887276,1420,101,538.6388888888889,444.28125,458.0,3.0,1048.662162162162,875.2027027027027,962.0,295.2710280373832,173.45945945945945,70,0.006550218340611353,0.0065085706920994975
887278,328,25,319.25925925925924,284.9259259259259,54.0,0.0,458.65384615384613,422.9230769230769,274.0,241.17073170731706,35.73076923076923,42,0.0,0.0016110323495295785
887280,8,4,8.5,5.166666666666667,0.0,0.0,0.0,0.0,8.0,5.166666666666667,,5,,0.0002577651759247326
887282,2452,51,1756.6101694915253,1456.7203389830509,29.0,0.0,248.0952380952381,185.1904761904762,2423.0,1732.0,62.904761904761905,49,0.0,0.0032865059930403404
887416,22,0,189.92857142857142,163.57142857142858,22.0,0.0,189.92857142857142,163.57142857142858,0.0,0.0,26.357142857142858,11,0.0,0.0
887802,145,22,191.06349206349208,162.20634920634922,20.0,0.0,274.125,241.875,125.0,150.61818181818182,32.25,37,0.0,0.001417708467586029
887992,47,3,275.1666666666667,161.83333333333334,0.0,0.0,0.0,0.0,47.0,161.83333333333334,,3,,0.00019332388194354943
888406,15,6,82.15384615384616,56.92307692307692,9.0,1.0,107.71428571428571,71.28571428571429,6.0,40.166666666666664,36.42857142857143,12,0.1111111111111111,0.00038664776388709887
888520,6,0,250.4,231.6,6.0,0.0,250.4,231.6,0.0,0.0,18.8,5,0.0,0.0
